,val_accuracy
0,0.4943820224719101
1,0.9887640449438202
2,0.0
3,0.0898876404494382
4,0.5393258426966292
5,0.7640449438202247
6,1.0
7,0.0
8,0.8426966292134831
9,0.550561797752809
