,Accuracy,Validation Accuracy
0,0.20761245489120483,0.49438202381134033
1,0.2918108403682709,0.0
2,0.27681660652160645,0.49438202381134033
3,0.2918108403682709,0.0
4,0.20761245489120483,0.0
5,0.20761245489120483,0.0
6,0.27681660652160645,0.0
7,0.27681660652160645,0.0
8,0.27681660652160645,0.0
9,0.27681660652160645,0.49438202381134033
10,0.2918108403682709,0.49438202381134033
11,0.2918108403682709,0.0
12,0.20761245489120483,0.49438202381134033
13,0.2918108403682709,0.49438202381134033
14,0.2918108403682709,0.0
15,0.27681660652160645,0.0
16,0.27681660652160645,0.0
17,0.27681660652160645,0.49438202381134033
18,0.2918108403682709,0.49438202381134033
19,0.2918108403682709,0.49438202381134033
20,0.2918108403682709,0.49438202381134033
21,0.2918108403682709,0.49438202381134033
22,0.2918108403682709,0.49438202381134033
23,0.2918108403682709,0.49438202381134033
24,0.2918108403682709,0.49438202381134033
25,0.29296424984931946,0.49438202381134033
26,0.3414071500301361,0.49438202381134033
27,0.30103805661201477,0.49438202381134033
28,0.2918108403682709,0.49438202381134033
29,0.2918108403682709,0.49438202381134033
30,0.2918108403682709,0.49438202381134033
31,0.2918108403682709,0.49438202381134033
32,0.2918108403682709,0.49438202381134033
33,0.29296424984931946,0.49438202381134033
34,0.3056516647338867,0.49438202381134033
35,0.3079584836959839,0.49438202381134033
36,0.30911189317703247,0.49438202381134033
37,0.3079584836959839,0.49438202381134033
38,0.3079584836959839,0.49438202381134033
39,0.3079584836959839,0.49438202381134033
40,0.2710495889186859,0.0
41,0.0,0.0
42,0.0,0.5056179761886597
43,0.4313725531101227,0.5056179761886597
44,0.4313725531101227,0.5056179761886597
45,0.4313725531101227,0.5056179761886597
46,0.4313725531101227,0.49438202381134033
47,0.23068051040172577,0.49438202381134033
48,0.23068051040172577,0.49438202381134033
49,0.37139561772346497,0.30337077379226685
50,0.3148788809776306,0.5056179761886597
51,0.4313725531101227,0.5056179761886597
52,0.4313725531101227,0.5056179761886597
53,0.4313725531101227,0.5393258333206177
54,0.44290658831596375,0.6516854166984558
55,0.5040369033813477,0.7415730357170105
56,0.5259515643119812,0.7415730357170105
57,0.5282583832740784,0.7415730357170105
58,0.5328719615936279,0.6966292262077332
59,0.5247981548309326,0.7191011309623718
60,0.5247981548309326,0.7752808928489685
61,0.544405996799469,0.8539325594902039
62,0.5836216807365417,0.8876404762268066
63,0.6055363416671753,0.9213483333587646
64,0.6320645809173584,0.9550561904907227
65,0.6459054350852966,0.9775280952453613
66,0.6620530486106873,0.9775280952453613
67,0.7347174286842346,0.9887640476226807
68,0.7531718611717224,0.9887640476226807
69,0.7197231650352478,0.9887640476226807
70,0.7197231650352478,0.9887640476226807
71,0.722029983997345,0.9887640476226807
72,0.7381775975227356,0.9887640476226807
