,val_accuracy
0,0.425531914893617
1,0.7446808510638298
2,0.4148936170212766
3,0.5
4,0.3829787234042553
5,0.46808510638297873
6,0.0
7,0.5851063829787234
8,0.6914893617021277
9,0.4148936170212766
