,val_accuracy
0,0.48936170212765956
1,0.0
2,0.3617021276595745
3,0.2872340425531915
4,0.02127659574468085
5,1.0
6,0.010638297872340425
7,0.0
8,0.8297872340425532
9,0.8617021276595744
