,val_accuracy
0,0.4943820224719101
1,0.651685393258427
2,0.4044943820224719
3,0.14606741573033707
4,0.033707865168539325
5,0.5168539325842697
6,0.5393258426966292
7,0.5280898876404494
8,1.0
9,0.7078651685393258
