,val_accuracy
0,0.0
1,0.6741573033707865
2,0.7191011235955056
3,0.449438202247191
4,0.2808988764044944
5,0.8202247191011236
6,0.0
7,0.3146067415730337
8,0.9662921348314607
9,0.6404494382022472
