,val_accuracy
0,0.5
1,0.8617021276595744
2,0.5106382978723404
3,0.4787234042553192
4,0.5531914893617021
5,0.8936170212765957
6,0.2872340425531915
7,0.48936170212765956
8,0.2765957446808511
9,0.8085106382978723
